method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
SAMseq,GSE45719sim123,full-length,,24,2,thr0.05,0.440817790530846,0.0472868217054264,0.849324202056956,0.0039737513671163,in range
scDD,GSE45719sim123,full-length,,24,2,thr0.05,0.262912482065997,0.0161073825503356,0.597814622175784,0.242435289828655,low FDP
SCDE,GSE45719sim123,full-length,,24,2,thr0.05,0.508608321377331,0.0267673301304049,0.915550838655166,0,low FDP
SeuratBimod,GSE45719sim123,full-length,,24,2,thr0.05,0.289813486370158,0.22007722007722,0.639117885480191,0.950747356908494,high FDP
SeuratBimodIsExpr2,GSE45719sim123,full-length,,24,2,thr0.05,0.112266857962697,0.0249221183800623,0.554782156230448,0.985453882610281,in range
SeuratBimodnofilt,GSE45719sim123,full-length,,24,2,thr0.05,0.723457675753228,0.6243947858473,0.864835993754816,0,high FDP
SeuratTobit,GSE45719sim123,full-length,,24,2,thr0.05,0.243543758967001,0.0313837375178317,0.567020850487154,0.380313525337222,in range
ttest,GSE45719sim123,full-length,,24,2,thr0.05,0.408895265423242,0.0248075278015398,0.913649420970856,0,low FDP
voomlimma,GSE45719sim123,full-length,,24,2,thr0.05,0.555236728837877,0.0780226325193568,0.907081669187121,0,in range
Wilcoxon,GSE45719sim123,full-length,,24,2,thr0.05,0.485294117647059,0.0238095238095238,0.89720833177588,0,low FDP
zinbwaveDESeq2,GSE45719sim123,full-length,,24,2,thr0.05,0.5512912482066,0.15642151481888,0.768812821410344,0.307181917608458,high FDP
zinbwaveedgeR,GSE45719sim123,full-length,,24,2,thr0.05,0.47883787661406,0.0644709180098108,0.885616526507507,0,low FDP
BPSC,GSE45719sim123,full-length,,24,3,thr0.05,0.49784327821711,0.228841870824053,0.65598389404958,0.0537218716948102,high FDP
D3E,GSE45719sim123,full-length,,24,3,thr0.05,0.437095614665708,0.0295291300877893,0.836263086383811,0.000802363324701849,low FDP
