method,dataset,dtype,filt,ncells,repl,charac,snr
zinbwaveDESeq2,GSE45719null,full-length,,12,1,CV(CPM),0.0928033122981346
DESeq2LRT,GSE45719null,full-length,,12,1,CV(CPM),-0.00550414807769481
BPSC,GSE45719null,full-length,,12,1,CV(CPM),0.214395330868789
MASTcpmDetRate,GSE45719null,full-length,,12,1,CV(CPM),0.375573197111098
edgeRLRT,GSE45719null,full-length,,12,2,Fraction zeros,-0.177739286172547
NODES,GSE45719null,full-length,,12,2,Fraction zeros,-0.977410317271692
DESeq2,GSE45719null,full-length,,12,2,Fraction zeros,-0.338276909276292
DESeq2nofilt,GSE45719null,full-length,,12,2,Fraction zeros,-0.449070275571032
edgeRLRTdeconv,GSE45719null,full-length,,12,2,Fraction zeros,-0.210335451600494
edgeRLRTrobust,GSE45719null,full-length,,12,2,Fraction zeros,-0.00709542506567906
SeuratBimod,GSE45719null,full-length,,12,2,Fraction zeros,-0.407287845762854
SeuratBimodnofilt,GSE45719null,full-length,,12,2,Fraction zeros,-0.151769634355496
SeuratTobit,GSE45719null,full-length,,12,2,Fraction zeros,0.524466154756073
monoclecensus,GSE45719null,full-length,,12,2,Fraction zeros,-0.000273558847303105
monocle,GSE45719null,full-length,,12,2,Fraction zeros,0.0563335339666214
monoclecount,GSE45719null,full-length,,12,2,Fraction zeros,0.727078733680546
DESeq2betapFALSE,GSE45719null,full-length,,12,2,Fraction zeros,0.0250458772738966
DEsingle,GSE45719null,full-length,,12,2,Fraction zeros,-0.523742733050625
zinbwaveDESeq2,GSE45719null,full-length,,12,2,Fraction zeros,-0.0914543388330774
BPSC,GSE45719null,full-length,,12,2,Fraction zeros,0.0486672239464136
MASTcpmDetRate,GSE45719null,full-length,,12,2,Fraction zeros,0.264719221585756
MASTtpmDetRate,GSE45719null,full-length,,12,2,Fraction zeros,0.315997119197756
edgeRLRT,GSE45719null,full-length,,12,2,log2(average CPM),0.600790142905355
NODES,GSE45719null,full-length,,12,2,log2(average CPM),0.890412084108684
DESeq2,GSE45719null,full-length,,12,2,log2(average CPM),0.464706062847925
DESeq2nofilt,GSE45719null,full-length,,12,2,log2(average CPM),0.498757324283504
edgeRLRTdeconv,GSE45719null,full-length,,12,2,log2(average CPM),0.656530606630532
edgeRLRTrobust,GSE45719null,full-length,,12,2,log2(average CPM),0.478460221033474
SeuratBimod,GSE45719null,full-length,,12,2,log2(average CPM),0.983860325492034
SeuratBimodnofilt,GSE45719null,full-length,,12,2,log2(average CPM),0.124263570508636
SeuratTobit,GSE45719null,full-length,,12,2,log2(average CPM),0.155769691815684
monoclecensus,GSE45719null,full-length,,12,2,log2(average CPM),0.912150659903874
monocle,GSE45719null,full-length,,12,2,log2(average CPM),0.198068215850914
monoclecount,GSE45719null,full-length,,12,2,log2(average CPM),-0.0568026141982274
DESeq2betapFALSE,GSE45719null,full-length,,12,2,log2(average CPM),0.407385535536457
DEsingle,GSE45719null,full-length,,12,2,log2(average CPM),0.555484390193426
zinbwaveDESeq2,GSE45719null,full-length,,12,2,log2(average CPM),0.361417449837697
BPSC,GSE45719null,full-length,,12,2,log2(average CPM),0.447091405517844
MASTcpmDetRate,GSE45719null,full-length,,12,2,log2(average CPM),0.255910662188914
MASTtpmDetRate,GSE45719null,full-length,,12,2,log2(average CPM),0.14915427051466
edgeRLRT,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.776025257119839
NODES,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.791448556826859
DESeq2,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.559491184700543
DESeq2nofilt,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.654705701004886
edgeRLRTdeconv,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.833493052346706
edgeRLRTrobust,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.568960038809914
SeuratBimod,GSE45719null,full-length,,12,2,log2(variance(CPM)),1.15785774214396
SeuratBimodnofilt,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.192953313434725
SeuratTobit,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.226830946661056
monoclecensus,GSE45719null,full-length,,12,2,log2(variance(CPM)),1.19356688522507
monocle,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.213117528212435
monoclecount,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.115825371443321
DESeq2betapFALSE,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.51751585399474
DEsingle,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.619729460700648
zinbwaveDESeq2,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.454265652678545
BPSC,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.587439881886924
MASTcpmDetRate,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.393266756973753
MASTtpmDetRate,GSE45719null,full-length,,12,2,log2(variance(CPM)),0.259165865680223
edgeRLRT,GSE45719null,full-length,,12,2,CV(CPM),0.730650851542096
NODES,GSE45719null,full-length,,12,2,CV(CPM),-0.822215646072405
DESeq2,GSE45719null,full-length,,12,2,CV(CPM),0.0850084186316829
DESeq2nofilt,GSE45719null,full-length,,12,2,CV(CPM),0.481155845231947
edgeRLRTdeconv,GSE45719null,full-length,,12,2,CV(CPM),0.72881818540086
edgeRLRTrobust,GSE45719null,full-length,,12,2,CV(CPM),0.0359867250084521
SeuratBimod,GSE45719null,full-length,,12,2,CV(CPM),0.309501146945687
SeuratBimodnofilt,GSE45719null,full-length,,12,2,CV(CPM),0.192476459875168
SeuratTobit,GSE45719null,full-length,,12,2,CV(CPM),0.0331383188897139
monoclecensus,GSE45719null,full-length,,12,2,CV(CPM),0.898553739295053
monocle,GSE45719null,full-length,,12,2,CV(CPM),-0.107621111239954
monoclecount,GSE45719null,full-length,,12,2,CV(CPM),1.04785145990619
DESeq2betapFALSE,GSE45719null,full-length,,12,2,CV(CPM),0.211028468125101
DEsingle,GSE45719null,full-length,,12,2,CV(CPM),-0.0290494098558823
zinbwaveDESeq2,GSE45719null,full-length,,12,2,CV(CPM),0.0434385268581632
BPSC,GSE45719null,full-length,,12,2,CV(CPM),0.407745169250411
MASTcpmDetRate,GSE45719null,full-length,,12,2,CV(CPM),0.299554273649192
MASTtpmDetRate,GSE45719null,full-length,,12,2,CV(CPM),0.182362298969721
edgeRLRT,GSE45719null,full-length,,12,3,Fraction zeros,-0.330693622489589
NODES,GSE45719null,full-length,,12,3,Fraction zeros,-0.726109193112786
DESeq2,GSE45719null,full-length,,12,3,Fraction zeros,-0.291383084013947
DESeq2nofilt,GSE45719null,full-length,,12,3,Fraction zeros,-0.410334188162296
edgeRLRTdeconv,GSE45719null,full-length,,12,3,Fraction zeros,-0.467471520017274
SCDE,GSE45719null,full-length,,12,3,Fraction zeros,0.539460469499211
edgeRLRTrobust,GSE45719null,full-length,,12,3,Fraction zeros,0.152994282826932
SeuratBimod,GSE45719null,full-length,,12,3,Fraction zeros,-0.35484983206526
SeuratBimodnofilt,GSE45719null,full-length,,12,3,Fraction zeros,-0.15024246510523
SeuratTobit,GSE45719null,full-length,,12,3,Fraction zeros,0.0395593367337251
monoclecensus,GSE45719null,full-length,,12,3,Fraction zeros,-0.0170137308634464
monocle,GSE45719null,full-length,,12,3,Fraction zeros,0.0206983713254157
DESeq2betapFALSE,GSE45719null,full-length,,12,3,Fraction zeros,0.06161599152403
DEsingle,GSE45719null,full-length,,12,3,Fraction zeros,-0.522189223122017
zinbwaveDESeq2,GSE45719null,full-length,,12,3,Fraction zeros,-0.0793252521428932
BPSC,GSE45719null,full-length,,12,3,Fraction zeros,0.112623176099789
MASTcpm,GSE45719null,full-length,,12,3,Fraction zeros,0.643282407184507
MASTcpmDetRate,GSE45719null,full-length,,12,3,Fraction zeros,0.503392978407647
MASTtpm,GSE45719null,full-length,,12,3,Fraction zeros,0.604879530203125
MASTtpmDetRate,GSE45719null,full-length,,12,3,Fraction zeros,0.499525757999129
edgeRLRT,GSE45719null,full-length,,12,3,log2(average CPM),0.59366938313762
NODES,GSE45719null,full-length,,12,3,log2(average CPM),0.929378804316456
DESeq2,GSE45719null,full-length,,12,3,log2(average CPM),0.490546586875866
DESeq2nofilt,GSE45719null,full-length,,12,3,log2(average CPM),0.512167388655395
edgeRLRTdeconv,GSE45719null,full-length,,12,3,log2(average CPM),0.617169957986341
SCDE,GSE45719null,full-length,,12,3,log2(average CPM),0.440618444991227
edgeRLRTrobust,GSE45719null,full-length,,12,3,log2(average CPM),0.285949872076178
SeuratBimod,GSE45719null,full-length,,12,3,log2(average CPM),0.975966394545838
SeuratBimodnofilt,GSE45719null,full-length,,12,3,log2(average CPM),0.130770267282822
SeuratTobit,GSE45719null,full-length,,12,3,log2(average CPM),0.274238986902799
monoclecensus,GSE45719null,full-length,,12,3,log2(average CPM),0.902635730275128
monocle,GSE45719null,full-length,,12,3,log2(average CPM),0.264956030004861
DESeq2betapFALSE,GSE45719null,full-length,,12,3,log2(average CPM),0.378434294701544
DEsingle,GSE45719null,full-length,,12,3,log2(average CPM),0.569214336431031
zinbwaveDESeq2,GSE45719null,full-length,,12,3,log2(average CPM),0.342779962799194
BPSC,GSE45719null,full-length,,12,3,log2(average CPM),0.396078461811884
MASTcpm,GSE45719null,full-length,,12,3,log2(average CPM),-0.055690259351517
MASTcpmDetRate,GSE45719null,full-length,,12,3,log2(average CPM),-0.0408691995583116
MASTtpm,GSE45719null,full-length,,12,3,log2(average CPM),-0.0483620632649001
MASTtpmDetRate,GSE45719null,full-length,,12,3,log2(average CPM),-0.0159498162053694
edgeRLRT,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.767322356294533
NODES,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.89801686664743
DESeq2,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.595812769004821
DESeq2nofilt,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.682877848420339
edgeRLRTdeconv,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.76992144411972
SCDE,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.581613360974835
edgeRLRTrobust,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.343537880482409
SeuratBimod,GSE45719null,full-length,,12,3,log2(variance(CPM)),1.16524690529619
SeuratBimodnofilt,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.201090173369829
SeuratTobit,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.328335681610245
monoclecensus,GSE45719null,full-length,,12,3,log2(variance(CPM)),1.17530988227217
monocle,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.293125501245695
DESeq2betapFALSE,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.501191782053049
DEsingle,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.64276999647227
zinbwaveDESeq2,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.439699306687206
BPSC,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.538138950994457
MASTcpm,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.113385073024299
MASTcpmDetRate,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.0992115822957303
MASTtpm,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.101923022950908
MASTtpmDetRate,GSE45719null,full-length,,12,3,log2(variance(CPM)),0.119648782488026
edgeRLRT,GSE45719null,full-length,,12,3,CV(CPM),0.742863703725485
NODES,GSE45719null,full-length,,12,3,CV(CPM),-0.708093750047653
DESeq2,GSE45719null,full-length,,12,3,CV(CPM),0.175056366800795
DESeq2nofilt,GSE45719null,full-length,,12,3,CV(CPM),0.590981540179017
edgeRLRTdeconv,GSE45719null,full-length,,12,3,CV(CPM),0.71225774518262
SCDE,GSE45719null,full-length,,12,3,CV(CPM),0.306955876137299
edgeRLRTrobust,GSE45719null,full-length,,12,3,CV(CPM),-0.0756540935539207
SeuratBimod,GSE45719null,full-length,,12,3,CV(CPM),0.354822658422602
SeuratBimodnofilt,GSE45719null,full-length,,12,3,CV(CPM),0.214134770262375
SeuratTobit,GSE45719null,full-length,,12,3,CV(CPM),-0.0874169976005642
monoclecensus,GSE45719null,full-length,,12,3,CV(CPM),0.903188154725237
monocle,GSE45719null,full-length,,12,3,CV(CPM),-0.0709882012731474
DESeq2betapFALSE,GSE45719null,full-length,,12,3,CV(CPM),0.261811632360451
DEsingle,GSE45719null,full-length,,12,3,CV(CPM),0.00492431704607762
zinbwaveDESeq2,GSE45719null,full-length,,12,3,CV(CPM),0.0358037517496896
BPSC,GSE45719null,full-length,,12,3,CV(CPM),0.443761617542506
MASTcpm,GSE45719null,full-length,,12,3,CV(CPM),0.663238525792606
MASTcpmDetRate,GSE45719null,full-length,,12,3,CV(CPM),0.466529957659011
MASTtpm,GSE45719null,full-length,,12,3,CV(CPM),0.665126154792784
MASTtpmDetRate,GSE45719null,full-length,,12,3,CV(CPM),0.474150567182375
edgeRLRT,GSE45719null,full-length,,12,4,Fraction zeros,-0.206253917646147
DESeq2,GSE45719null,full-length,,12,4,Fraction zeros,-0.258557119742914
DESeq2nofilt,GSE45719null,full-length,,12,4,Fraction zeros,-0.331410819977235
edgeRLRTdeconv,GSE45719null,full-length,,12,4,Fraction zeros,-0.185310056379058
edgeRLRTrobust,GSE45719null,full-length,,12,4,Fraction zeros,0.230235080042247
SeuratBimod,GSE45719null,full-length,,12,4,Fraction zeros,-0.665013740969658
SeuratBimodnofilt,GSE45719null,full-length,,12,4,Fraction zeros,-0.133653322883089
